experiment,training_cost,step,molecule,energy
from_scratch,215546.4,30000,trans_butadiene,-155.95893+/-0.00033
from_scratch,88902.0,30000,ethene,-78.58559+/-0.00009
from_scratch,615751.2,30000,cyclohexene,-234.6010+/-0.0005
from_scratch,617437.7999999999,30000,ts_concerted,-234.4928+/-0.0005
from_scratch,618437.4,30000,tsf_anti,-234.4720+/-0.0005
from_scratch,623621.4,30000,int_anti,-234.4728+/-0.0005
from_scratch,431092.8,60000,trans_butadiene,-155.98494+/-0.00016
from_scratch,177804.0,60000,ethene,-78.58731+/-0.00006
from_scratch,1231502.4,60000,cyclohexene,-234.6126+/-0.0004
from_scratch,1234875.5999999999,60000,ts_concerted,-234.5048+/-0.0004
from_scratch,1236874.8,60000,tsf_anti,-234.4971+/-0.0004
from_scratch,1247242.8,60000,int_anti,-234.4982+/-0.0004
from_scratch,934034.4,130000,trans_butadiene,-155.98993+/-0.00010
from_scratch,385242.0,130000,ethene,-78.58765+/-0.00004
from_scratch,2668255.2,130000,cyclohexene,-234.64214+/-0.00017
from_scratch,2675563.8000000003,130000,ts_concerted,-234.53455+/-0.00020
from_scratch,2679895.4,130000,tsf_anti,-234.51765+/-0.00017
from_scratch,2702359.4,130000,int_anti,-234.52069+/-0.00017
from_scratch,1436976.0,200000,trans_butadiene,-155.99070+/-0.00009
from_scratch,592680.0,200000,ethene,-78.58787+/-0.00004
from_scratch,4105008.0,200000,cyclohexene,-234.64536+/-0.00033
from_scratch,4116252.0,200000,ts_concerted,-234.53730+/-0.00034
from_scratch,4122916.0,200000,tsf_anti,-234.5197+/-0.0004
from_scratch,4157476.0,200000,int_anti,-234.52327+/-0.00033
beta,253167.36000000002,64000,trans_butadiene,-155.97664+/-0.00020
beta,253167.36000000002,64000,ethene,-78.58150+/-0.00011
beta,253167.36000000002,64000,cyclohexene,-234.61713+/-0.00035
beta,253167.36000000002,64000,ts_concerted,-234.50997+/-0.00033
beta,253167.36000000002,64000,tsf_anti,-234.49913+/-0.00030
beta,253167.36000000002,64000,int_anti,-234.50240+/-0.00030
beta,506334.72000000003,128000,trans_butadiene,-155.98258+/-0.00018
beta,506334.72000000003,128000,ethene,-78.58398+/-0.00010
beta,506334.72000000003,128000,cyclohexene,-234.63319+/-0.00026
beta,506334.72000000003,128000,ts_concerted,-234.52410+/-0.00027
beta,506334.72000000003,128000,tsf_anti,-234.50540+/-0.00029
beta,506334.72000000003,128000,int_anti,-234.50907+/-0.00029
beta,632918.4,160000,trans_butadiene,-155.98528+/-0.00013
beta,632918.4,160000,ethene,-78.58539+/-0.00007
beta,632918.4,160000,cyclohexene,-234.63560+/-0.00020
beta,632918.4,160000,ts_concerted,-234.52796+/-0.00021
beta,632918.4,160000,tsf_anti,-234.51421+/-0.00020
beta,712033.2000000001,180000,trans_butadiene,-155.98537+/-0.00013
beta,712033.2000000001,180000,ethene,-78.58519+/-0.00007
beta,712033.2000000001,180000,cyclohexene,-234.63626+/-0.00021
beta,712033.2000000001,180000,ts_concerted,-234.52821+/-0.00021
beta,712033.2000000001,180000,tsf_anti,-234.51298+/-0.00021
beta,791148.0,200000,trans_butadiene,-155.98645+/-0.00013
beta,791148.0,200000,ethene,-78.58555+/-0.00007
beta,791148.0,200000,cyclohexene,-234.63875+/-0.00019
beta,791148.0,200000,ts_concerted,-234.53084+/-0.00020
beta,791148.0,200000,tsf_anti,-234.51508+/-0.00018
beta,791148.0,200000,int_anti,-234.51792+/-0.00018
