ID,CASSCF_DZ,MRAQCC_DZ,Time_DZ
0,-193.242474345,-193.828518512163,5292.492
1,-193.247585879,-193.828321761519,6362.782
2,-193.241700629,-193.829465847412,4800.851
3,-193.233731820,-193.815443778651,7042.476
4,-193.225842627,-193.791408713747,5096.788
5,-193.147149218,-193.714215966843,6808.254
6,-193.125755101,-193.681492169315,9258.301
7,-193.098520299,-193.665122393954,8782.845
8,-193.092902471,-193.655174342925,10978.807
9,-193.084412872,-193.655123672533,8082.212
10,-193.084311661,-193.654269965852,8199.505
11,-193.070885976,-193.656557424681,7572.227
12,-193.071087478,-193.656510985310,7734.541
13,-193.076143920,-193.655394424427,8612.294
14,-193.058749582,-193.658646908385,8961.763
15,-193.059065447,-193.659618934504,9512.825
16,-193.058649089,-193.658807186269,17270.430
17,-193.074773902,-193.646124748111,10047.302
18,-193.074749553,-193.646145832992,10132.298
19,-193.074678544,-193.646228981113,10139.379
