ID,HF_DZ,HF_TZ,CCSD_DZ,CCSD_TZ,CCSD(T)_DZ,CCSD(T)_TZ,Time_DZ,Time_TZ,HF_CBS,CCSD(T)_CBS
0,-168.96235514980208,-169.00307973664627,-169.49789410403832,-169.67926811180212,-169.51735291723048,-169.70756501286246,3.1328959465026855_56.48231291770935_18.34718132019043,5.764738082885742_485.7451889514923_490.86820101737976,-169.01632403341685,-169.80816029035498
1,-168.9622789685926,-169.0029813700708,-169.49790584877294,-169.67921103163286,-169.51738095179667,-169.7075261095106,3.2628800868988037_56.53723073005676_18.4454505443573,5.843976974487305_494.1818985939026_491.78043937683105,-169.01621845180017,-169.80808802142033
2,-168.9576489626661,-168.99843979075433,-169.4937152017332,-169.6752433237274,-169.51322227899203,-169.70359294890213,3.584179639816284_49.321940898895264_18.365793228149414,6.53783106803894_542.2618160247803_491.2848551273346,-169.0117056302528,-169.80426372266786
3,-168.94769045353868,-168.9883508815215,-169.48456064781874,-169.6658935325246,-169.50404047845325,-169.69422146861197,3.1537418365478516_47.10489368438721_18.363216161727905,7.555868864059448_591.338700056076_493.8579442501068,-169.0015743127888,-169.79481519489633
4,-168.92456735449736,-168.9645733881398,-169.4649543329909,-169.64514154873856,-169.48475356073607,-169.67387625155055,3.433461904525757_49.53135347366333_18.3149893283844,6.636842250823975_596.7424092292786_495.99299597740173,-168.97758399974404,-169.77402114180845
5,-168.74827682013725,-168.78695634960226,-169.3255120877281,-169.5008779805078,-169.3533743421628,-169.5383196200605,4.128309488296509_59.08876585960388_18.40945315361023,7.931394577026367_756.7356886863708_494.3724319934845,-168.79953556051336,-169.63636722010475
6,-168.73499881038902,-168.77504207004023,-169.303866560424,-169.4826295714119,-169.33228612534705,-169.52054799237828,3.734360456466675_73.6307647228241_18.408034801483154,7.465011358261108_850.2103984355927_495.3583915233612,-168.78806478814687,-169.62018022602822
7,-168.88257822368416,-168.92546593473924,-169.4274976353526,-169.6103808056704,-169.45079323455013,-169.6427285116738,3.2020692825317383_42.247878551483154_18.359766721725464,6.694332122802734_653.8873465061188_494.7545337677002,-168.93941371461963,-169.7437701977667
8,-168.91250289868006,-168.9564978814866,-169.45176226812384,-169.63503163668,-169.47432242374973,-169.66653648422988,2.957573413848877_51.97925424575806_18.441033840179443,6.377926588058472_503.8385579586029_493.1693000793457,-168.9708057641162,-169.7674541572124
9,-168.91711541476533,-168.96115634289885,-169.45514799353987,-169.6380752625171,-169.477556885876,-169.6693951552832,3.2478480339050293_52.00949311256409_18.363105297088623,6.3376312255859375_542.7331182956696_494.0956690311432,-168.97547916769466,-169.77008133453614
10,-168.91684188453445,-168.9609109762048,-169.45499085924996,-169.63795392941924,-169.47743507158185,-169.6693076875221,3.1642448902130127_51.92426371574402_18.35798454284668,6.375577211380005_545.6944365501404_493.7753233909607,-168.97524296023997,-169.77000663896365
11,-168.89806394003296,-168.94045827821174,-169.4420118977143,-169.62298520602738,-169.46515902916573,-169.65512123148372,3.161555290222168_47.17549204826355_18.336777448654175,6.217689275741577_496.068971157074_493.39890575408936,-168.9542456052233,-169.7551378211282
12,-168.75592377210572,-168.79617004892023,-169.32946612087454,-169.5068766664423,-169.35694824081523,-169.54378887103377,3.675628185272217_49.367043256759644_18.34733486175537,7.157503843307495_604.8601083755493_494.60066390037537,-168.8092587915042,-169.6425380185705
13,-168.6440889363992,-168.6831126668486,-169.26504290458095,-169.43891898011273,-169.31665099320745,-169.5011754397796,4.613765001296997_77.78407883644104_18.38470768928528,8.287658929824829_836.2993679046631_491.4864296913147,-168.69580381750757,-169.59888794340733
14,-168.61083192644963,-168.64969217291332,-169.25361062604694,-169.426361753142,-169.3226788014877,-169.50656560728632,5.034033298492432_102.06096386909485_18.364262104034424,9.260889291763306_1021.8580932617188_492.2522192001343,-168.66233015592616,-169.60394787623557
15,-168.589219554789,-168.62805073569194,-169.24782303580898,-169.41997492412233,-169.33052438063322,-169.51412398457418,5.647862434387207_87.10043168067932_18.35235333442688,10.379133462905884_1129.111751317978_491.8423845767975,-168.64067926611258,-169.61134596251753
16,-168.56610278483544,-168.60487448487032,-169.24238263696117,-169.41392451725957,-169.34326718916472,-169.52629434506824,6.040058851242065_134.4608473777771_18.401086568832397,11.29332184791565_1317.0729248523712_492.7674994468689,-168.61748367114706,-169.6231972335198
17,-168.55682800858722,-168.59563785725032,-169.24147632673942,-169.4130541453951,-169.34637320209018,-169.52974528374162,7.0175535678863525_122.77865099906921_18.346254348754883,12.422786951065063_2040.5340230464935_492.68705701828003,-168.60825945008023,-169.62683983975944
18,-168.55323393766207,-168.592020694172,-169.24110214568887,-169.4126095437744,-169.349144710407,-169.5325338196895,6.351430892944336_148.96113228797913_18.353471040725708,16.16399574279785_1416.0021300315857_490.6153495311737,-168.60463477705883,-169.62964430921133
19,-168.55029067187172,-168.58906367189607,-169.24069493086597,-169.41214731880797,-169.35288290997636,-169.5362272373094,7.044580698013306_134.2133765220642_18.42541527748108,13.332883358001709_2275.909476518631_490.4662036895752,-168.60167328095045,-169.63331512369336
