ID,CASSCF_DZ,MRCISD_DZ,Time_DZ
0,-322.050505955,-322.903161489405,17437.426
1,-322.047142577,-322.917066329678,17995.370
2,-322.044456904,-322.915796386881,16554.386
3,-322.027319625,-322.909486661274,17712.969
4,-322.036861780,-322.915347824295,17504.077
5,-322.030984878,-322.924305067767,11848.446
6,-322.005203518,-322.895826629322,17222.130
7,-322.016129047,-322.900381927452,22049.521
8,-322.039929786,-322.902149633872,27572.718
9,-322.044803417,-322.901294875982,27255.213
10,-322.034719942,-322.897458294902,26405.884
11,-322.023258912,-322.906101593057,22178.580
12,-322.034384911,-322.896155715706,28001.302
13,-322.020943905,-322.904236009007,22528.199
14,-321.968910768,-322.808777644288,29386.644
15,-321.910933664,-322.761330295403,29797.926
16,-321.805735723,-322.675628037243,28162.843
17,-321.936509134,-322.756221459558,18703.544
18,-321.881798872,-322.758184183524,22912.529
19,-321.897547602,-322.762079952799,31479.587
