ID,CASSCF_DZ,CASSCF_TZ,NEVPT2_DZ,NEVPT2_TZ,Time_DZ,Time_TZ,CASSCF_CBS,NEVPT2_CBS
0,-322.00836140871604,-322.08588254223304,-322.9362085035651,-323.27622605766334,6.520324230194092_3518.0191612243652_15.094369173049927,84.81102633476257_38289.84370303154_67.06444597244263,-322.1124091996437,-323.451318331796
1,-322.0220221923906,-322.1030018519387,-322.9296204089922,-323.28932252622604,6.000638484954834_2317.3209342956543_14.427629709243774,81.40761160850525_43737.72303390503_67.37754774093628,-322.13071196902047,-323.47478174224284
2,-322.1028303963844,-322.09388464901724,-322.9178208896636,-323.2522859357397,6.432116985321045_2858.320932865143_14.821430921554565,82.6127986907959_11418.178074598312_67.73064589500427,-322.09082353826045,-323.44358570885294
3,-322.0943905567628,-322.12576700441247,-322.9130045121169,-323.2944180672322,6.558669567108154_2892.958742618561_14.973984718322754,82.24111461639404_11800.72335267067_67.36335873603821,-322.1365035899061,-323.5032658446082
4,-322.0185537788475,-322.0994999929524,-322.9262858242027,-323.2846717710024,6.420278549194336_2711.353680372238_14.398728132247925,81.72513556480408_26934.165521860123_68.09602403640747,-322.12719866546706,-323.4693935560598
5,-322.02543693290363,-322.1065848796517,-322.9329293627152,-323.29135968974794,6.109293460845947_5762.763519048691_14.448860168457031,79.52609825134277_26980.0907664299_68.94758915901184,-322.1343525822807,-323.4760614478659
6,-321.9954384611158,-322.085660847575,-322.9124615104139,-323.2911047520004,6.530943155288696_2373.8893496990204_14.813128232955933,83.00829482078552_19570.253390073776_67.2880961894989,-322.1165336976973,-323.48521572218016
7,-322.0188300394765,-322.0981417486082,-322.93051948851445,-323.29440454950554,6.567492723464966_898.1918704509735_14.39592957496643,86.56904244422913_28213.08829665184_67.53588366508484,-322.12528111617604,-323.4826044581201
8,-322.02304895019694,-322.07772051765966,-322.9327409711857,-323.2528260072202,6.441988945007324_1000.5802867412567_14.530702114105225,80.63053274154663_41550.95061445236_67.82680678367615,-322.0964283702722,-323.42175044395754
9,-322.02483088505926,-322.0953335184283,-322.9351997805406,-323.27827580538985,6.671148300170898_2804.9596722126007_15.321584701538086,77.42409348487854_33789.75197315216_67.99207854270935,-322.11945854236797,-323.4566697291401
10,-322.01250150120006,-322.0980940390428,-322.91286394403096,-323.29162460231544,6.413914442062378_2745.3905639648438_15.049177646636963,83.17532277107239_13239.559567213058_67.92175793647766,-322.12738261914035,-323.4868381215806
11,-322.0164210690368,-322.0959464462155,-322.91752380685307,-323.27857782228057,6.427606821060181_4401.399149894714_14.355419158935547,80.97455978393555_48728.31765413284_67.91293954849243,-322.1231589280275,-323.46512762257385
12,-322.0177213322913,-322.0974103654195,-322.9274591297449,-323.2913529693178,6.4977240562438965_3639.3258204460144_14.423375368118286,83.75263953208923_20402.68439912796_67.46375322341919,-322.124678848029,-323.4794734065991
13,-322.0203026200622,-322.10316159763283,-322.930261830176,-323.2975296606333,6.423811435699463_1908.2605226039886_14.357425928115845,82.58564567565918_14823.774413585663_66.5266854763031,-322.1315147912937,-323.48685029353294
14,-321.9542907614371,-321.9795871968449,-322.8121180041519,-323.1752278662822,7.244301795959473_1683.8426127433777_14.29377794265747,90.70354390144348_44458.2217798233_65.39051675796509,-321.98824328642104,-323.37507688704915
15,-321.87932605997406,-321.843738008719,-322.7729644794631,-323.1107601242617,8.383157730102539_839.0243062973022_14.411887645721436,105.28769445419312_40833.46093392372_67.56270360946655,-321.8315602708464,-323.30990709304723
16,-321.8295906102566,-321.8890739126015,-322.68925730909405,-323.0499284098816,8.646871089935303_2240.0199704170227_14.476428747177124,105.5587465763092_15530.19334077835_67.97627854347229,-321.90942827419775,-323.24074662361613
17,-321.70519230149284,-321.9721976599922,-322.6945203499766,-323.1341011510869,9.99808645248413_4744.642114400864_14.361240863800049,121.16279077529907_30963.533167362213_67.82865405082703,-322.0635631928527,-323.32313954746985
18,-321.9269508149672,-321.90530415596777,-322.7625762894362,-322.96592515651366,9.730903148651123_2285.4516270160675_14.35442042350769,116.58648705482483_74421.83168196678_66.73061680793762,-321.8978969692909,-323.0858591313555
19,-321.7919679705609,-322.0097381726084,-322.6874099394071,-323.1270657239472,8.897519826889038_5475.937339305878_14.869778156280518,111.58852982521057_27890.699425935745_66.78177499771118,-322.08425611735316,-323.32716468930835
