ID,wb97x-v,Time
0,-324.00962917348306,706.3066222667694
1,-324.0158699994101,623.6291439533234
2,-324.01138266188207,558.9378793239594
3,-324.0057188268328,616.5197899341583
4,-324.0118381012241,591.9622616767883
5,-324.01781634978045,606.8904809951782
6,-323.99870650746186,664.0007247924805
7,-324.00649380029665,681.8958442211151
8,-324.01306279675066,674.2147943973541
9,-324.0115538682946,661.3663675785065
10,-324.0084438330295,666.1322183609009
11,-324.01284870807,685.0432143211365
12,-324.00794082013743,686.0813257694244
13,-324.0104935507524,684.9304358959198
14,-323.91106452289785,756.3372478485107
15,-323.79133358257684,929.3431901931763
16,-323.6379030942859,959.4137167930603
17,-323.74671073197214,851.9361436367035
18,-323.7811629389357,787.4885759353638
19,-323.7903922880465,980.6354537010193
